TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
21.09.2023 15:01,534688,0142699172-0002,ISSUED,82846,82763.15,82.85,KZT,HALYK,credit,credit 12 months,,
21.09.2023 23:53,535574,0139539727-0009,ISSUED,6557,6550.44,6.56,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 22:30,535490,82656064-0002,ISSUED,79009,78929.99,79.01,KZT,HALYK,credit,credit 36 months,,
21.09.2023 15:35,534778,0142261281-0004,ISSUED,117803,117685.2,117.8,KZT,EUABFIS,credit,credit 24 months,,
21.09.2023 10:06,533997,0140743089-0001,ISSUED,78626,78547.37,78.63,KZT,EUABFIS,credit,credit 12 months,,
21.09.2023 23:47,535571,0133097949-0045,ISSUED,116500,116383.5,116.5,KZT,HALYK,credit,credit 36 months,,
21.09.2023 23:31,535554,0142757176-0002,ISSUED,22699,22676.3,22.7,KZT,HALYK,credit,credit 6 months,,
21.09.2023 22:36,535499,0126404388-0003,ISSUED,443061,442617.94,443.06,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 22:11,535469,0142651503-0001,ISSUED,9193,9183.81,9.19,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 21:59,535454,0128608366-0014,ISSUED,55458,55402.54,55.46,KZT,FASTCASH,credit,credit 24 months,,
21.09.2023 21:19,535418,74399575-0030,ISSUED,26476,26449.52,26.48,KZT,HALYK,credit,credit 6 months,,
21.09.2023 21:08,535401,0142746067-0001,ISSUED,46453,46406.55,46.45,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 21:29,535398,0142744838-0002,REFUNDED,-57842,-57784.16,-57.84,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 21:05,535398,0142744838-0002,ISSUED,57842,57784.16,57.84,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 20:27,535348,52510520-0004,ISSUED,19968,19948.03,19.97,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 20:24,535343,0141960443-0003,ISSUED,180378,180197.62,180.38,KZT,HALYK,credit,credit 6 months,,
21.09.2023 20:16,535334,0142331941-0004,ISSUED,45456,45410.54,45.46,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 19:10,535223,58233859-0004,ISSUED,38066,38027.93,38.07,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 18:59,535210,0139294437-0014,ISSUED,52329,52276.67,52.33,KZT,EUABFIS,credit,credit 12 months,,
21.09.2023 18:56,535203,0137786802-0005,ISSUED,13042,13028.96,13.04,KZT,HALYK,credit,credit 6 months,,
21.09.2023 18:26,535150,92646394-0010,ISSUED,23741,23717.26,23.74,KZT,HALYK,credit,credit 6 months,,
21.09.2023 18:21,535140,0139266351-0005,ISSUED,41852,41810.15,41.85,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 18:21,535138,0138726311-0006,ISSUED,27484,27456.52,27.48,KZT,EUABFIS,credit,credit 9 months,,
21.09.2023 17:08,534984,0142192493-0003,ISSUED,22875,22852.12,22.88,KZT,HALYK,credit,credit 6 months,,
21.09.2023 16:41,534926,0135222591-0032,ISSUED,19248,19228.75,19.25,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 16:04,534841,0133796254-0005,ISSUED,20602,20581.4,20.6,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 15:31,534775,99277608-0005,ISSUED,9121,9111.88,9.12,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 15:29,534765,0125417076-0005,ISSUED,9132,9122.87,9.13,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 15:09,534710,0142701108-0001,ISSUED,9349,9339.65,9.35,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 17:41,534683,0126708090-0009,REFUNDED,-26873,-26846.13,-26.87,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 15:00,534683,0126708090-0009,ISSUED,26873,26846.13,26.87,KZT,EUABFIS,credit,credit 3 months,,
