TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
22.09.2023 23:55,537116,33069617-0007,ISSUED,16846,16829.15,16.85,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 23:34,537099,0141419119-0012,ISSUED,17211,17193.79,17.21,KZT,EUABFIS,credit,credit 3 months,,
22.09.2023 22:46,537052,0142831288-0002,ISSUED,108392,108283.61,108.39,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 22:24,537031,0142833426-0001,ISSUED,40190,40149.81,40.19,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 22:12,537020,44266228-0012,ISSUED,213983,213769.02,213.98,KZT,HALYK,credit,credit 36 months,,
22.09.2023 22:09,537016,0142257755-0002,ISSUED,41110,41068.89,41.11,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 22:04,537012,0142834278-0001,ISSUED,12217,12204.78,12.22,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 21:51,536993,0142050810-0003,ISSUED,31201,31169.8,31.2,KZT,HALYK,credit,credit 6 months,,
22.09.2023 21:43,536979,0141653589-0002,ISSUED,6207,6200.79,6.21,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 21:42,536978,0140089271-0024,ISSUED,37567,37529.43,37.57,KZT,HALYK,credit,credit 6 months,,
22.09.2023 21:37,536972,0125243271-0013,ISSUED,64583,64518.42,64.58,KZT,HALYK,credit,credit 36 months,,
22.09.2023 20:46,536920,0124365872-0004,ISSUED,24906,24881.09,24.91,KZT,HALYK,credit,credit 6 months,,
22.09.2023 20:31,536907,0141166892-0007,ISSUED,44863,44818.14,44.86,KZT,HALYK,credit,credit 12 months,,
22.09.2023 20:23,536899,60429619-0002,ISSUED,69597,69527.4,69.6,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 20:12,536880,0139108171-0002,ISSUED,9945,9935.05,9.95,KZT,EUABFIS,credit,credit 3 months,,
22.09.2023 20:01,536867,0142820080-0002,ISSUED,54955,54900.04,54.96,KZT,HALYK,credit,credit 12 months,,
22.09.2023 18:55,536775,0142820080-0001,ISSUED,28044,28015.96,28.04,KZT,HALYK,credit,credit 6 months,,
22.09.2023 18:18,536717,0142778513-0001,ISSUED,38396,38357.6,38.4,KZT,EUABFIS,credit,credit 3 months,,
22.09.2023 18:10,536700,64739691-0006,ISSUED,31089,31057.91,31.09,KZT,EUABFIS,credit,credit 3 months,,
22.09.2023 18:07,536696,0142816086-0001,ISSUED,13198,13184.8,13.2,KZT,FASTCASH,credit,credit 12 months,,
22.09.2023 18:04,536691,0129534599-0004,ISSUED,49698,49648.3,49.7,KZT,EUABFIS,credit,credit 12 months,,
